unique.id,moistureFraction,moisturePercent
37_9,0.306165099,30.61650993
38_9,0.296512382,29.65123817
39_9,0.296512382,29.65123817
40_9,0.315270288,31.5270288
41_9,0.315270288,31.5270288
42_9,0.296848658,29.68486578
43_9,0.296848658,29.68486578
44_9,0.318391562,31.83915623
45_9,0.318391562,31.83915623
46_9,0.265662574,26.56625744
47_9,0.265662574,26.56625744
48_9,0.280081925,28.00819252
01_10,0.280081925,28.00819252
02_10,0.301574906,30.15749056
03_10,0.301574906,30.15749056
04_10,0.301574906,30.15749056
05_10,0.301574906,30.15749056
06_10,0.299714063,29.97140629
07_10,0.299714063,29.97140629
08_10,0.275672918,27.56729175
09_10,0.275672918,27.56729175
10_10,0.303950971,30.39509714
11_10,0.303950971,30.39509714
12_10,0.291822762,29.18227619
13_10,0.291822762,29.18227619
14_10,0.301405518,30.1405518
15_10,0.301405518,30.1405518
16_10,0.335648457,33.56484573
17_10,0.335648457,33.56484573
18_10,0.331735251,33.1735251
19_10,0.331735251,33.1735251
20_10,0.220256254,22.02562538
21_10,0.220256254,22.02562538
22_10,0.311991603,31.19916033
23_10,0.311991603,31.19916033
24_10,0.251251251,25.12512513
25_10,0.251251251,25.12512513
26_10,0.299545159,29.95451592
27_10,0.299545159,29.95451592
28_10,0.280573697,28.0573697
29_10,0.280573697,28.0573697
30_10,0.310444241,31.04442406
31_10,0.310444241,31.04442406
32_10,0.326787847,32.67878466
33_10,0.326787847,32.67878466
34_10,0.28882588,28.88258796
35_10,0.28882588,28.88258796
36_10,0.310272537,31.02725367
37_10,0.310272537,31.02725367
38_10,0.295336788,29.53367876
39_10,0.295336788,29.53367876
40_10,0.265822785,26.58227848
41_10,0.265822785,26.58227848
42_10,0.303950971,30.39509714
43_10,0.303950971,30.39509714
44_10,0.318739285,31.87392852
45_10,0.318739285,31.87392852
46_10,0.360729351,36.07293509
47_10,0.360729351,36.07293509
48_10,0.287001287,28.7001287
01_11,0.287001287,28.7001287
02_11,0.278281989,27.8281989
03_11,0.278281989,27.8281989
04_11,0.258970162,25.89701624
05_11,0.258970162,25.89701624
06_11,0.317523057,31.75230567
07_11,0.317523057,31.75230567
08_11,0.261034048,26.10340479
09_11,0.261034048,26.10340479
10_11,0.309243257,30.92432574
11_11,0.309243257,30.92432574
12_11,0.280737705,28.07377049
13_11,0.280737705,28.07377049
14_11,0.272750414,27.27504136
15_11,0.272750414,27.27504136
16_11,0.286173633,28.61736334
17_11,0.286173633,28.61736334
18_11,0.303441085,30.34410845
19_11,0.303441085,30.34410845
20_11,0.247349383,24.73493826
21_11,0.247349383,24.73493826
22_11,0.223690651,22.3690651
23_11,0.223690651,22.3690651
24_11,0.269357705,26.9357705
25_11,0.269357705,26.9357705
26_11,0.226692836,22.66928361
27_11,0.226692836,22.66928361
28_11,0.289823294,28.98232942
29_11,0.289823294,28.98232942
30_11,0.344989913,34.49899126
31_11,0.344989913,34.49899126
32_11,0.301744337,30.17443374
33_11,0.301744337,30.17443374
34_11,0.291822762,29.18227619
