"","unique.id","CO2CperHourperg"
"352","09_9",1.62689684449893
"353","10_8",1.6571598935499
"354","10_9",1.76093382572438
"355","11_8",1.75358220518284
"356","11_9",1.23921778915347
"357","12_8",1.69284378011103
"358","12_9",1.04993331417634
"359","13_9",2.6477672548579
"360","14_8",2.10158852762136
"361","14_9",2.84697109737785
"362","15_8",1.75552284041294
"363","15_9",3.02758774130576
"364","16_8",1.84891215029947
"365","16_9",2.05582199458029
"366","17_8",1.63627769933109
"367","17_9",1.82695094885327
"368","18_8",1.96311394496257
"369","18_9",1.64063976271184
"370","19_8",2.12853487166889
"371","19_9",1.33078214871244
"372","20_8",2.07357307611163
"373","20_9",1.45605437222208
"374","21_8",1.5572868586874
"375","21_9",1.79078168263248
"376","22_8",1.53099072102659
"377","22_9",2.11561810993924
"378","23_8",1.76399766810454
"379","23_9",2.18779308250714
"380","24_8",1.92300664216333
"381","24_9",2.13912052394875
"382","25_8",1.954676279508
"383","25_9",1.77429993406403
"384","26_8",1.80681119972558
"385","26_9",1.65574976950398
"386","27_8",1.72272224256142
"387","27_9",1.90305920161263
"388","28_8",1.97054332646509
"389","28_9",1.85000550918905
"390","29_8",1.50838673761222
"391","29_9",1.34369658021889
"392","30_8",1.43155063617886
"393","30_9",1.47947797941764
"394","31_8",1.9541556872388
"395","31_9",1.92648503507656
"396","32_8",1.90075796486038
"397","32_9",2.11919153025504
"398","33_8",1.73758657762127
"399","33_9",2.20913476966031
"400","34_8",2.02794915469334
"401","34_9",2.81518610541503
"402","35_8",2.01395199755102
"403","35_9",2.03834804430286
"404","36_8",1.82062231143471
"405","36_9",2.02420193834547
"406","37_8",2.61646489380521
"407","37_9",2.17689325739651
"408","38_8",2.02263171147198
"409","38_9",2.05817426568896
"410","39_8",1.3823333196265
"411","39_9",1.63921385857859
"412","40_8",1.34599890492597
"413","40_9",1.83485034005729
"414","41_8",1.74243857068872
"415","41_9",1.85426979184185
"416","42_8",1.72368478652651
"417","42_9",1.45096863279947
"418","43_8",1.99553288343536
"419","43_9",1.61088244912517
"420","44_8",1.94394456951108
"421","44_9",1.82472241652078
"422","45_8",1.87663887389683
"423","45_9",1.53364755226425
"424","46_8",1.70537702819898
"425","46_9",1.44597463654337
"426","47_8",1.75783859648029
"427","47_9",2.10199963121357
"428","48_8",1.45829787265582
"429","48_9",2.34829702748397
"430","01_10",2.30310976480379
"431","01_11",1.63090411002595
"432","02_10",3.14659545575552
"433","02_11",2.07169933030441
"434","03_10",2.38165220458836
"435","03_11",1.50643465830528
"436","04_10",2.3349085699583
"437","04_11",1.47213299391229
"438","05_10",2.35285856912175
"439","05_11",1.42715165031102
"440","06_10",2.37896913085165
"441","06_11",1.62727500999835
"442","07_10",1.76098670755227
"443","07_11",1.47432250248968
"444","08_10",1.52885580083197
"445","08_11",1.01057981745677
"446","09_10",1.38455527436634
"447","09_11",2.04056195148742
"448","10_10",1.52158935802343
"449","10_11",2.29988093145358
"450","11_10",2.45760536595362
"451","11_11",1.55434521361727
"452","12_10",2.01974683406799
"453","12_11",1.52395167220459
"454","13_10",1.33459129907947
"455","13_11",1.53042191144701
"456","14_10",1.38902252860803
"457","14_11",1.30500007246594
"458","15_10",2.07733491441862
"459","15_11",2.41908741257364
"460","16_10",1.9788265838161
"461","16_11",2.66692227715095
"462","17_10",2.22505564071491
"463","17_11",1.48724814041666
"464","18_10",1.91475536956087
"465","18_11",1.48143130444244
"466","19_10",1.32627801537269
"467","19_11",2.62514072949089
"468","20_10",0.86096518960822
"469","20_11",3.27826737869839
