Population,Predation.Treatment,Generation,Cage.ID,Day,Date,Terraria,Time,X,Y,Estimate,Notes,Distance
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,10H 0M 0S,9,4,NA,,11.18033989
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,10H 20M 0S,5,9,NA,,6.403124237
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,10H 40M 0S,6,2,NA,,7.071067812
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,11H 0M 0S,1,17,NA,,7.071067812
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,11H 20M 0S,3,21,NA,,14.14213562
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,11H 40M 0S,2,21,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,12H 0M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,12H 20M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,12H 40M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,13H 0M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,13H 20M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,13H 40M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,14H 0M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,14H 20M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,14H 40M 0S,2,21,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,15H 0M 0S,2,12,NA,,9
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,15H 20M 0S,2,19,NA,,7
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,15H 40M 0S,2,20,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,16H 0M 0S,2,20,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,16H 20M 0S,2,20,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,16H 40M 0S,2,20,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,17H 0M 0S,2,18,NA,,2
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,17H 20M 0S,2,18,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,17H 40M 0S,2,18,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,18H 0M 0S,2,18,NA,,0
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,7H 40M 0S,NA,NA,NA,,13.03840481
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,8H 0M 0S,NA,NA,NA,,0
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,8H 20M 0S,2,19,NA,,19.10497317
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,8H 40M 0S,2,18,NA,,1
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,9H 0M 0S,2,18,NA,,0
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,9H 20M 0S,2,19,NA,,1
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,9H 40M 0S,2,19,NA,,0
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,10H 0M 0S,2,19,NA,,0
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,10H 20M 0S,2,10,NA,,9
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,10H 40M 0S,2,13,NA,,3
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,11H 0M 0S,2,1,NA,,12
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,11H 20M 0S,10,14,NA,,15.26433752
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,11H 40M 0S,2,15,NA,,8.062257748
